ISetReg 3 : 5000, 5000Start drive: Tsting chart for 4 => 2 in 0	 L: 1	 5000	 42	 4	 0	 ;Tsting chart for 4 => 2 in 0	 R: 1	 5000	 42	 4	 0	 ;

40	200	 L: 13750	, 11	, -7	, 0	, 91	, 0	 > 160	 R: 5000	, 4	, 0	, -3	, -113	, 0	 > 34	 STA: 1	 0
41	200	 L: 12500	, 10	, -6	, 1	, 85	, 0	 > 163	 R: 2500	, 2	, 2	, 2	, -111	, 0	 > 36	 STA: 1	 0
42	200	 L: 13750	, 11	, -7	, -1	, 78	, 0	 > 160	 R: 2500	, 2	, 2	, 0	, -109	, 0	 > 33	 STA: 1	 0
43	200	 L: 13750	, 11	, -7	, 0	, 71	, 0	 > 160	 R: 0	, 0	, 4	, 2	, -105	, 0	 > 36	 STA: 1	 0
44	200	 L: 12500	, 10	, -6	, 1	, 65	, 0	 > 162	 R: 0	, 0	, 4	, 0	, -101	, 0	 > 34	 STA: 1	 0
45	200	 L: 13750	, 11	, -7	, -1	, 58	, 0	 > 159	 R: 0	, 0	, 4	, 0	, -97	, 0	 > 33	 STA: 1	 0
46	200	 L: 13750	, 11	, -7	, 0	, 51	, 0	 > 158	 R: 0	, 0	, 4	, 0	, -93	, 0	 > 32	 STA: 1	 0
47	200	 L: 12500	, 10	, -6	, 1	, 45	, 0	 > 159	 R: 0	, 0	, 4	, 0	, -89	, 0	 > 32	 STA: 1	 0
48	200	 L: 13750	, 11	, -7	, -1	, 38	, 0	 > 155	 R: 0	, 0	, 4	, 0	, -85	, 0	 > 32	 STA: 1	 0
49	200	 L: 13750	, 11	, -7	, 0	, 31	, 0	 > 153	 R: 0	, 0	, 4	, 0	, -81	, 0	 > 32	 STA: 1	 0
50	200	 L: 12500	, 10	, -6	, 1	, 25	, 0	 > 153	 R: 0	, 0	, 4	, 0	, -77	, 0	 > 32	 STA: 1	 0
51	200	 L: 13750	, 11	, -7	, -1	, 18	, 0	 > 148	 R: 0	, 0	, 4	, 0	, -73	, 0	 > 32	 STA: 1	 0
52	200	 L: 12500	, 10	, -6	, 1	, 12	, 0	 > 148	 R: 0	, 0	, 4	, 0	, -69	, 0	 > 32	 STA: 1	 0
53	200	 L: 13750	, 11	, -7	, -1	, 5	, 0	 > 142	 R: 0	, 0	, 4	, 0	, -65	, 0	 > 32	 STA: 1	 0
54	200	 L: 12500	, 10	, -6	, 1	, -1	, 0	 > 142	 R: 0	, 0	, 4	, 0	, -61	, 0	 > 32	 STA: 1	 0
55	200	 L: 12500	, 10	, -6	, 0	, -7	, 0	 > 139	 R: 0	, 0	, 4	, 0	, -57	, 0	 > 32	 STA: 1	 0
56	200	 L: 12500	, 10	, -6	, 0	, -13	, 0	 > 136	 R: 0	, 0	, 4	, 0	, -53	, 0	 > 32	 STA: 1	 0
57	200	 L: 12500	, 10	, -6	, 0	, -19	, 0	 > 133	 R: 0	, 0	, 4	, 0	, -49	, 0	 > 32	 STA: 1	 0
58	200	 L: 12500	, 10	, -6	, 0	, -25	, 0	 > 129	 R: 0	, 0	, 4	, 0	, -45	, 0	 > 32	 STA: 1	 0
59	200	 L: 12500	, 10	, -6	, 0	, -31	, 0	 > 125	 R: 0	, 0	, 4	, 0	, -41	, 0	 > 32	 STA: 1	 0
60	200	 L: 11250	, 9	, -5	, 1	, -36	, 0	 > 124	 R: 0	, 0	, 4	, 0	, -37	, 0	 > 32	 STA: 1	 0
61	200	 L: 11250	, 9	, -5	, 0	, -41	, 0	 > 120	 R: 0	, 0	, 4	, 0	, -33	, 0	 > 32	 STA: 1	 0
62	200	 L: 12500	, 10	, -6	, -1	, -47	, 0	 > 113	 R: 0	, 0	, 4	, 0	, -29	, 0	 > 32	 STA: 1	 0
63	200	 L: 11250	, 9	, -5	, 1	, -52	, 0	 > 112	 R: 0	, 0	, 4	, 0	, -25	, 0	 > 33	 STA: 1	 0
64	200	 L: 11250	, 9	, -5	, 0	, -57	, 0	 > 108	 R: 0	, 0	, 4	, 0	, -21	, 0	 > 34	 STA: 1	 0
65	200	 L: 11250	, 9	, -5	, 0	, -62	, 0	 > 104	 R: 0	, 0	, 4	, 0	, -17	, 0	 > 35	 STA: 1	 0
66	200	 L: 11250	, 9	, -5	, 0	, -67	, 0	 > 99	 R: 0	, 0	, 4	, 0	, -13	, 0	 > 36	 STA: 1	 0
67	200	 L: 10000	, 8	, -4	, 1	, -71	, 0	 > 97	 R: 0	, 0	, 4	, 0	, -9	, 0	 > 37	 STA: 1	 0
68	200	 L: 10000	, 8	, -4	, 0	, -75	, 0	 > 92	 R: 0	, 0	, 4	, 0	, -5	, 0	 > 38	 STA: 1	 0
69	200	 L: 10000	, 8	, -4	, 0	, -79	, 0	 > 87	 R: 0	, 0	, 4	, 0	, -1	, 0	 > 39	 STA: 1	 0
70	200	 L: 8750	, 7	, -3	, 1	, -82	, 0	 > 86	 R: 0	, 0	, 4	, 0	, 3	, 0	 > 41	 STA: 1	 0
71	200	 L: 8750	, 7	, -3	, 0	, -85	, 0	 > 82	 R: 0	, 0	, 4	, 0	, 7	, 0	 > 43	 STA: 1	 0
72	200	 L: 10000	, 8	, -4	, -1	, -89	, 0	 > 74	 R: 0	, 0	, 4	, 0	, 11	, 0	 > 45	 STA: 1	 0
73	200	 L: 7500	, 6	, -2	, 2	, -91	, 0	 > 74	 R: 0	, 0	, 4	, 0	, 15	, 0	 > 47	 STA: 1	 0
74	200	 L: 7500	, 6	, -2	, 0	, -93	, 0	 > 70	 R: 2500	, 2	, 2	, -2	, 17	, 0	 > 44	 STA: 1	 0
75	200	 L: 7500	, 6	, -2	, 0	, -95	, 0	 > 66	 R: 3750	, 3	, 1	, -1	, 18	, 0	 > 43	 STA: 1	 0
76	200	 L: 7500	, 6	, -2	, 0	, -97	, 0	 > 62	 R: 3750	, 3	, 1	, 0	, 19	, 0	 > 44	 STA: 1	 0
77	200	 L: 6250	, 5	, -1	, 1	, -98	, 0	 > 61	 R: 2500	, 2	, 2	, 1	, 21	, 0	 > 48	 STA: 1	 0
SetReg 3 : 0, 0Stop drive
Chart:
0	 2	 4	 6	 8	 10	 
48	 50	 58	 69	 89	 126	 
43	 43	 43	 0	 0	 0	 

